city,time,pm2_5,pm10,ozone
bengaluru,2025-12-11 00:00:00+00:00,33.78,34.98,97.4
bengaluru,2025-12-11 01:00:00+00:00,33.98,35.0,92.8
bengaluru,2025-12-11 02:00:00+00:00,35.66,36.52,87.2
bengaluru,2025-12-11 03:00:00+00:00,33.32,34.08,90.2
bengaluru,2025-12-11 04:00:00+00:00,28.04,28.94,111.0
bengaluru,2025-12-11 05:00:00+00:00,23.9,24.8,141.2
bengaluru,2025-12-11 06:00:00+00:00,21.58,22.38,162.4
bengaluru,2025-12-11 07:00:00+00:00,20.68,21.32,169.0
bengaluru,2025-12-11 08:00:00+00:00,19.84,20.5,166.6
bengaluru,2025-12-11 09:00:00+00:00,19.24,19.9,160.4
bengaluru,2025-12-11 10:00:00+00:00,19.04,19.78,149.8
bengaluru,2025-12-11 11:00:00+00:00,19.34,20.04,134.6
bengaluru,2025-12-11 12:00:00+00:00,22.86,23.4,118.4
bengaluru,2025-12-11 13:00:00+00:00,28.6,29.08,101.8
bengaluru,2025-12-11 14:00:00+00:00,32.34,32.88,84.4
bengaluru,2025-12-11 15:00:00+00:00,34.6,35.16,72.6
bengaluru,2025-12-11 16:00:00+00:00,36.48,37.0,68.8
bengaluru,2025-12-11 17:00:00+00:00,38.42,39.14,69.0
bengaluru,2025-12-11 18:00:00+00:00,39.62,40.42,71.0
bengaluru,2025-12-11 19:00:00+00:00,39.52,40.42,72.8
bengaluru,2025-12-11 20:00:00+00:00,39.56,40.62,74.6
bengaluru,2025-12-11 21:00:00+00:00,39.84,40.94,78.0
bengaluru,2025-12-11 22:00:00+00:00,39.8,41.08,82.6
bengaluru,2025-12-11 23:00:00+00:00,40.56,41.96,86.8
bengaluru,2025-12-12 00:00:00+00:00,40.62,42.16,89.6
bengaluru,2025-12-12 01:00:00+00:00,43.72,45.3,85.2
bengaluru,2025-12-12 02:00:00+00:00,50.58,52.24,78.4
bengaluru,2025-12-12 03:00:00+00:00,44.4,45.66,81.0
bengaluru,2025-12-12 04:00:00+00:00,29.56,31.0,101.8
bengaluru,2025-12-12 05:00:00+00:00,24.76,26.2,132.2
bengaluru,2025-12-12 06:00:00+00:00,22.54,24.26,154.6
bengaluru,2025-12-12 07:00:00+00:00,21.48,23.48,164.0
bengaluru,2025-12-12 08:00:00+00:00,20.66,22.72,166.4
bengaluru,2025-12-12 09:00:00+00:00,20.18,22.32,163.8
bengaluru,2025-12-12 10:00:00+00:00,20.24,22.36,153.8
bengaluru,2025-12-12 11:00:00+00:00,20.86,22.86,139.0
bengaluru,2025-12-12 12:00:00+00:00,25.68,27.34,122.4
bengaluru,2025-12-12 13:00:00+00:00,32.74,34.48,104.2
bengaluru,2025-12-12 14:00:00+00:00,37.16,38.94,85.4
bengaluru,2025-12-12 15:00:00+00:00,39.94,41.64,72.2
bengaluru,2025-12-12 16:00:00+00:00,41.86,43.76,68.8
bengaluru,2025-12-12 17:00:00+00:00,44.3,46.36,70.8
bengaluru,2025-12-12 18:00:00+00:00,45.76,47.9,74.4
bengaluru,2025-12-12 19:00:00+00:00,45.5,47.86,78.2
bengaluru,2025-12-12 20:00:00+00:00,45.56,47.96,82.8
bengaluru,2025-12-12 21:00:00+00:00,45.94,48.46,86.8
bengaluru,2025-12-12 22:00:00+00:00,46.5,49.28,90.2
bengaluru,2025-12-12 23:00:00+00:00,47.36,50.24,92.2
bengaluru,2025-12-13 00:00:00+00:00,48.58,51.66,92.2
bengaluru,2025-12-13 01:00:00+00:00,52.66,55.82,86.4
bengaluru,2025-12-13 02:00:00+00:00,59.98,63.16,79.2
bengaluru,2025-12-13 03:00:00+00:00,56.24,58.5,80.6
bengaluru,2025-12-13 04:00:00+00:00,32.16,34.98,101.0
bengaluru,2025-12-13 05:00:00+00:00,24.0,26.74,129.6
bengaluru,2025-12-13 06:00:00+00:00,21.56,23.84,152.4
bengaluru,2025-12-13 07:00:00+00:00,21.32,23.32,162.6
bengaluru,2025-12-13 08:00:00+00:00,21.26,23.24,166.2
bengaluru,2025-12-13 09:00:00+00:00,21.22,23.1,164.0
bengaluru,2025-12-13 10:00:00+00:00,21.04,22.98,153.8
bengaluru,2025-12-13 11:00:00+00:00,21.44,23.32,136.6
bengaluru,2025-12-13 12:00:00+00:00,26.66,28.24,119.4
bengaluru,2025-12-13 13:00:00+00:00,33.64,35.3,100.2
bengaluru,2025-12-13 14:00:00+00:00,37.36,38.9,81.2
bengaluru,2025-12-13 15:00:00+00:00,38.52,40.22,68.0
bengaluru,2025-12-13 16:00:00+00:00,39.3,41.02,66.6
bengaluru,2025-12-13 17:00:00+00:00,40.3,42.02,71.6
bengaluru,2025-12-13 18:00:00+00:00,40.22,42.02,78.2
bengaluru,2025-12-13 19:00:00+00:00,39.62,41.5,84.8
bengaluru,2025-12-13 20:00:00+00:00,39.8,41.64,93.0
bengaluru,2025-12-13 21:00:00+00:00,40.66,42.5,99.0
bengaluru,2025-12-13 22:00:00+00:00,41.6,43.52,103.4
bengaluru,2025-12-13 23:00:00+00:00,42.76,44.56,106.4
bengaluru,2025-12-14 00:00:00+00:00,44.46,46.38,106.6
bengaluru,2025-12-14 01:00:00+00:00,49.14,51.02,102.2
bengaluru,2025-12-14 02:00:00+00:00,58.0,59.74,95.0
bengaluru,2025-12-14 03:00:00+00:00,51.24,52.58,95.8
bengaluru,2025-12-14 04:00:00+00:00,34.14,35.74,112.4
bengaluru,2025-12-14 05:00:00+00:00,29.98,31.5,136.2
bengaluru,2025-12-14 06:00:00+00:00,26.16,27.66,154.0
bengaluru,2025-12-14 07:00:00+00:00,24.62,26.18,161.2
bengaluru,2025-12-14 08:00:00+00:00,24.06,25.82,163.2
bengaluru,2025-12-14 09:00:00+00:00,23.9,25.68,159.2
bengaluru,2025-12-14 10:00:00+00:00,23.72,25.6,149.6
bengaluru,2025-12-14 11:00:00+00:00,24.18,26.02,133.8
bengaluru,2025-12-14 12:00:00+00:00,29.62,31.06,117.4
bengaluru,2025-12-14 13:00:00+00:00,36.98,38.48,98.8
bengaluru,2025-12-14 14:00:00+00:00,41.32,42.72,78.6
bengaluru,2025-12-14 15:00:00+00:00,43.94,45.3,65.6
bengaluru,2025-12-14 16:00:00+00:00,46.1,47.44,63.4
bengaluru,2025-12-14 17:00:00+00:00,47.4,48.74,68.6
bengaluru,2025-12-14 18:00:00+00:00,47.7,49.1,74.0
bengaluru,2025-12-14 19:00:00+00:00,47.24,48.74,79.2
bengaluru,2025-12-14 20:00:00+00:00,47.52,49.02,85.6
bengaluru,2025-12-14 21:00:00+00:00,48.14,49.72,91.0
bengaluru,2025-12-14 22:00:00+00:00,48.96,50.66,95.0
bengaluru,2025-12-14 23:00:00+00:00,50.14,51.88,98.0
bengaluru,2025-12-15 00:00:00+00:00,52.46,54.14,99.6
bengaluru,2025-12-15 01:00:00+00:00,57.26,58.98,97.8
bengaluru,2025-12-15 02:00:00+00:00,65.8,67.74,95.6
bengaluru,2025-12-15 03:00:00+00:00,56.46,57.72,100.4
bengaluru,2025-12-15 04:00:00+00:00,42.48,44.02,119.2
bengaluru,2025-12-15 05:00:00+00:00,37.36,38.98,144.2
bengaluru,2025-12-15 06:00:00+00:00,33.6,35.3,162.6
bengaluru,2025-12-15 07:00:00+00:00,31.46,33.24,168.0
bengaluru,2025-12-15 08:00:00+00:00,30.58,32.36,165.8
bengaluru,2025-12-15 09:00:00+00:00,30.14,32.1,160.8
bengaluru,2025-12-15 10:00:00+00:00,30.48,32.36,150.2
bengaluru,2025-12-15 11:00:00+00:00,31.48,33.32,136.6
bengaluru,2025-12-15 12:00:00+00:00,35.46,36.94,126.2
delhi,2025-12-11 00:00:00+00:00,44.64,45.56,82.6
delhi,2025-12-11 01:00:00+00:00,45.22,45.98,76.2
delhi,2025-12-11 02:00:00+00:00,49.02,49.62,68.8
delhi,2025-12-11 03:00:00+00:00,47.76,48.18,72.8
delhi,2025-12-11 04:00:00+00:00,42.14,42.46,99.8
delhi,2025-12-11 05:00:00+00:00,36.96,37.42,139.0
delhi,2025-12-11 06:00:00+00:00,31.5,31.96,167.0
delhi,2025-12-11 07:00:00+00:00,27.28,27.66,176.6
delhi,2025-12-11 08:00:00+00:00,24.9,25.24,175.0
delhi,2025-12-11 09:00:00+00:00,23.1,23.44,168.0
delhi,2025-12-11 10:00:00+00:00,22.08,22.5,154.2
delhi,2025-12-11 11:00:00+00:00,22.7,23.08,134.0
delhi,2025-12-11 12:00:00+00:00,28.4,28.68,114.0
delhi,2025-12-11 13:00:00+00:00,36.24,36.52,95.6
delhi,2025-12-11 14:00:00+00:00,41.52,41.94,77.0
delhi,2025-12-11 15:00:00+00:00,45.8,46.22,64.4
delhi,2025-12-11 16:00:00+00:00,50.22,50.62,59.8
delhi,2025-12-11 17:00:00+00:00,54.64,55.22,59.4
delhi,2025-12-11 18:00:00+00:00,56.94,57.6,60.8
delhi,2025-12-11 19:00:00+00:00,56.54,57.28,62.4
delhi,2025-12-11 20:00:00+00:00,56.04,56.94,64.0
delhi,2025-12-11 21:00:00+00:00,56.28,57.16,66.4
delhi,2025-12-11 22:00:00+00:00,56.12,57.28,68.4
delhi,2025-12-11 23:00:00+00:00,56.16,57.38,69.2
delhi,2025-12-12 00:00:00+00:00,56.88,58.18,69.8
delhi,2025-12-12 01:00:00+00:00,61.28,62.64,64.2
delhi,2025-12-12 02:00:00+00:00,70.9,72.36,57.6
delhi,2025-12-12 03:00:00+00:00,66.1,67.16,63.2
delhi,2025-12-12 04:00:00+00:00,48.76,49.9,92.6
delhi,2025-12-12 05:00:00+00:00,40.46,41.7,134.6
delhi,2025-12-12 06:00:00+00:00,34.5,35.92,166.2
delhi,2025-12-12 07:00:00+00:00,30.54,32.2,180.4
delhi,2025-12-12 08:00:00+00:00,28.86,30.6,185.2
delhi,2025-12-12 09:00:00+00:00,28.2,30.08,182.6
delhi,2025-12-12 10:00:00+00:00,28.3,30.16,170.2
delhi,2025-12-12 11:00:00+00:00,30.58,32.36,150.6
delhi,2025-12-12 12:00:00+00:00,41.24,42.78,129.4
delhi,2025-12-12 13:00:00+00:00,54.0,55.62,107.4
delhi,2025-12-12 14:00:00+00:00,64.26,65.98,84.6
delhi,2025-12-12 15:00:00+00:00,73.3,74.84,67.8
delhi,2025-12-12 16:00:00+00:00,80.8,82.66,61.2
delhi,2025-12-12 17:00:00+00:00,88.02,90.04,60.6
delhi,2025-12-12 18:00:00+00:00,92.12,94.22,62.0
delhi,2025-12-12 19:00:00+00:00,90.82,93.16,64.4
delhi,2025-12-12 20:00:00+00:00,89.0,91.44,67.8
delhi,2025-12-12 21:00:00+00:00,87.26,89.76,71.4
delhi,2025-12-12 22:00:00+00:00,86.24,88.88,74.6
delhi,2025-12-12 23:00:00+00:00,85.76,88.58,76.8
delhi,2025-12-13 00:00:00+00:00,85.58,88.56,78.0
delhi,2025-12-13 01:00:00+00:00,88.88,91.86,73.8
delhi,2025-12-13 02:00:00+00:00,98.9,102.06,69.2
delhi,2025-12-13 03:00:00+00:00,99.58,101.66,75.6
delhi,2025-12-13 04:00:00+00:00,68.22,70.56,106.4
delhi,2025-12-13 05:00:00+00:00,54.64,56.74,148.0
delhi,2025-12-13 06:00:00+00:00,45.34,47.04,180.4
delhi,2025-12-13 07:00:00+00:00,39.64,41.18,194.2
delhi,2025-12-13 08:00:00+00:00,36.92,38.6,197.8
delhi,2025-12-13 09:00:00+00:00,36.12,37.76,194.4
delhi,2025-12-13 10:00:00+00:00,35.82,37.5,181.8
delhi,2025-12-13 11:00:00+00:00,40.72,42.32,160.4
delhi,2025-12-13 12:00:00+00:00,52.04,53.44,138.8
delhi,2025-12-13 13:00:00+00:00,65.84,67.24,114.2
delhi,2025-12-13 14:00:00+00:00,75.84,77.0,89.4
delhi,2025-12-13 15:00:00+00:00,79.7,81.02,71.4
delhi,2025-12-13 16:00:00+00:00,79.24,80.46,67.2
delhi,2025-12-13 17:00:00+00:00,77.58,78.88,70.8
delhi,2025-12-13 18:00:00+00:00,75.04,76.44,75.8
delhi,2025-12-13 19:00:00+00:00,72.52,73.98,80.6
delhi,2025-12-13 20:00:00+00:00,71.58,73.06,86.8
delhi,2025-12-13 21:00:00+00:00,71.96,73.34,91.2
delhi,2025-12-13 22:00:00+00:00,72.34,73.88,94.6
delhi,2025-12-13 23:00:00+00:00,73.06,74.44,97.2
delhi,2025-12-14 00:00:00+00:00,74.46,75.82,97.6
delhi,2025-12-14 01:00:00+00:00,79.48,80.76,92.4
delhi,2025-12-14 02:00:00+00:00,91.52,92.74,85.0
delhi,2025-12-14 03:00:00+00:00,90.4,91.46,89.2
delhi,2025-12-14 04:00:00+00:00,67.52,68.66,116.2
delhi,2025-12-14 05:00:00+00:00,58.72,59.94,154.2
delhi,2025-12-14 06:00:00+00:00,50.36,51.56,182.6
delhi,2025-12-14 07:00:00+00:00,44.88,46.24,194.0
delhi,2025-12-14 08:00:00+00:00,41.42,42.98,197.0
delhi,2025-12-14 09:00:00+00:00,39.62,41.12,191.8
delhi,2025-12-14 10:00:00+00:00,38.44,40.16,178.6
delhi,2025-12-14 11:00:00+00:00,40.6,42.26,157.4
delhi,2025-12-14 12:00:00+00:00,51.04,52.44,135.4
delhi,2025-12-14 13:00:00+00:00,62.7,64.1,111.2
delhi,2025-12-14 14:00:00+00:00,72.18,73.5,85.4
delhi,2025-12-14 15:00:00+00:00,79.6,80.9,67.4
delhi,2025-12-14 16:00:00+00:00,85.96,87.26,60.8
delhi,2025-12-14 17:00:00+00:00,90.4,91.7,62.2
delhi,2025-12-14 18:00:00+00:00,91.84,93.4,64.8
delhi,2025-12-14 19:00:00+00:00,90.58,92.06,68.4
delhi,2025-12-14 20:00:00+00:00,88.86,90.5,74.0
delhi,2025-12-14 21:00:00+00:00,86.9,88.44,79.2
delhi,2025-12-14 22:00:00+00:00,84.38,86.0,83.6
delhi,2025-12-14 23:00:00+00:00,81.38,83.0,87.4
delhi,2025-12-15 00:00:00+00:00,79.84,81.38,89.6
delhi,2025-12-15 01:00:00+00:00,83.02,84.56,87.0
delhi,2025-12-15 02:00:00+00:00,92.84,94.64,83.8
delhi,2025-12-15 03:00:00+00:00,83.0,84.06,90.0
delhi,2025-12-15 04:00:00+00:00,64.94,66.26,115.4
delhi,2025-12-15 05:00:00+00:00,55.78,57.08,149.6
delhi,2025-12-15 06:00:00+00:00,45.84,47.36,174.4
delhi,2025-12-15 07:00:00+00:00,38.88,40.5,181.2
delhi,2025-12-15 08:00:00+00:00,35.8,37.42,177.8
delhi,2025-12-15 09:00:00+00:00,34.64,36.42,170.6
delhi,2025-12-15 10:00:00+00:00,34.66,36.34,157.2
delhi,2025-12-15 11:00:00+00:00,35.72,37.36,140.0
delhi,2025-12-15 12:00:00+00:00,41.06,42.42,127.0
hyderabad,2025-12-11 00:00:00+00:00,29.5,30.4,92.0
hyderabad,2025-12-11 01:00:00+00:00,29.0,29.7,86.0
hyderabad,2025-12-11 02:00:00+00:00,30.2,30.7,79.0
hyderabad,2025-12-11 03:00:00+00:00,27.1,27.4,82.0
hyderabad,2025-12-11 04:00:00+00:00,21.7,22.0,105.0
hyderabad,2025-12-11 05:00:00+00:00,18.5,18.9,139.0
hyderabad,2025-12-11 06:00:00+00:00,16.8,17.2,163.0
hyderabad,2025-12-11 07:00:00+00:00,16.3,16.6,171.0
hyderabad,2025-12-11 08:00:00+00:00,15.7,16.0,169.0
hyderabad,2025-12-11 09:00:00+00:00,15.0,15.3,163.0
hyderabad,2025-12-11 10:00:00+00:00,14.6,15.0,152.0
hyderabad,2025-12-11 11:00:00+00:00,14.6,15.0,136.0
hyderabad,2025-12-11 12:00:00+00:00,18.1,18.4,119.0
hyderabad,2025-12-11 13:00:00+00:00,24.0,24.3,102.0
hyderabad,2025-12-11 14:00:00+00:00,27.8,28.2,84.0
hyderabad,2025-12-11 15:00:00+00:00,30.3,30.7,72.0
hyderabad,2025-12-11 16:00:00+00:00,32.5,32.9,68.0
hyderabad,2025-12-11 17:00:00+00:00,34.9,35.5,68.0
hyderabad,2025-12-11 18:00:00+00:00,36.6,37.3,70.0
hyderabad,2025-12-11 19:00:00+00:00,36.8,37.6,72.0
hyderabad,2025-12-11 20:00:00+00:00,37.0,38.0,74.0
hyderabad,2025-12-11 21:00:00+00:00,37.4,38.4,77.0
hyderabad,2025-12-11 22:00:00+00:00,37.1,38.3,80.0
hyderabad,2025-12-11 23:00:00+00:00,36.9,38.2,82.0
hyderabad,2025-12-12 00:00:00+00:00,37.0,38.5,83.0
hyderabad,2025-12-12 01:00:00+00:00,40.5,42.1,77.0
hyderabad,2025-12-12 02:00:00+00:00,48.8,50.4,69.0
hyderabad,2025-12-12 03:00:00+00:00,42.0,43.1,72.0
hyderabad,2025-12-12 04:00:00+00:00,24.4,25.7,96.0
hyderabad,2025-12-12 05:00:00+00:00,19.5,20.8,131.0
hyderabad,2025-12-12 06:00:00+00:00,18.2,19.8,157.0
hyderabad,2025-12-12 07:00:00+00:00,18.1,20.0,168.0
hyderabad,2025-12-12 08:00:00+00:00,18.1,20.1,171.0
hyderabad,2025-12-12 09:00:00+00:00,18.2,20.3,169.0
hyderabad,2025-12-12 10:00:00+00:00,18.6,20.7,160.0
hyderabad,2025-12-12 11:00:00+00:00,19.3,21.3,146.0
hyderabad,2025-12-12 12:00:00+00:00,23.9,25.6,130.0
hyderabad,2025-12-12 13:00:00+00:00,30.6,32.4,112.0
hyderabad,2025-12-12 14:00:00+00:00,35.4,37.3,93.0
hyderabad,2025-12-12 15:00:00+00:00,38.9,40.7,79.0
hyderabad,2025-12-12 16:00:00+00:00,41.4,43.5,74.0
hyderabad,2025-12-12 17:00:00+00:00,44.6,46.9,74.0
hyderabad,2025-12-12 18:00:00+00:00,46.7,49.1,76.0
hyderabad,2025-12-12 19:00:00+00:00,46.7,49.4,79.0
hyderabad,2025-12-12 20:00:00+00:00,47.0,49.8,83.0
hyderabad,2025-12-12 21:00:00+00:00,47.6,50.5,87.0
hyderabad,2025-12-12 22:00:00+00:00,48.3,51.5,91.0
hyderabad,2025-12-12 23:00:00+00:00,49.1,52.4,94.0
hyderabad,2025-12-13 00:00:00+00:00,49.7,53.2,95.0
hyderabad,2025-12-13 01:00:00+00:00,52.9,56.5,90.0
hyderabad,2025-12-13 02:00:00+00:00,61.0,64.7,84.0
hyderabad,2025-12-13 03:00:00+00:00,56.5,59.1,86.0
hyderabad,2025-12-13 04:00:00+00:00,31.5,34.3,107.0
